;;;;;;;
;;;;;;;
떟 X;;;떟 Y;;;떟 Z;
1,179998994;-1972,479004;;1,179998994;22543,87109;;1,179998994;-5818,251953
1,189998865;-2918,230469;;1,189998865;4964,334473;;1,189998865;-4278,025879
1,199999213;-5060,5625;;1,199999213;-4749,004883;;1,199999213;1911,311523
1,209999085;-5238,212402;;1,209999085;2816,406006;;1,209999085;3974,869141
1,219998956;-67,63693237;;1,219998956;5640,056152;;1,219998956;1203,87439
1,229998827;5426,810547;;1,229998827;-5116,52002;;1,229998827;231,3723908
1,239999175;5360,737305;;1,239999175;-13749,44629;;1,239999175;1618,299561
1,249999046;1651,024292;;1,249999046;-11266,45215;;1,249999046;697,6586914
1,259998918;-1760,122803;;1,259998918;-1580,978516;;1,259998918;-2289,973633
1,269998789;-3412,57959;;1,269998789;10393,54883;;1,269998789;-3761,469238
1,279999137;-3484,268799;;1,279999137;17202,16602;;1,279999137;-1743,19043
1,289999008;-4005,561768;;1,289999008;13942,08887;;1,289999008;3194,431152
1,299998879;-3573,292969;;1,299998879;6990,602539;;1,299998879;6850,134277
1,309998751;1825,44812;;1,309998751;2685,364746;;1,309998751;6439,321289
1,319999099;6406,958984;;1,319999099;-1143,689819;;1,319999099;4384,527344
